"State","Count","Name","Id","Chief Functionary","Chairman","Promoter Name 1","Promoter Name 2","Promoter Name 3","Promoter Name 4","Secretary","Treasurer","Umbrella-Parent Organisation","Registered","Type","Registration No","Date of Registration","City of Registration","Registration Certificate URL","FCRA Registration No","Key Issues","Operational Area-States","Operational Area-District","Major Activities-Achievements","City","Mobile Number","Email","Fax Number","Address","Phone number","Sectors Working In",,,,,"Website URL"
"Andhra Pradesh",2223,"ANKUSH WELFARE SOCIETY","AP/2010/0027390","KATHLE PRABHAKER","KORUKANTI RENUKA","BRAHMAIAH","Promoter Name 2",,,"KATHLE PRABHAKER","B NAGENDER","Karwani Islami","Registrar of Societies","Society",243,06/06/2007 00:00,"ADILABAD","http://ngo.india.gov.in/ngo/b9eb8c460fc6aaf3ab4034a986a40208.CERTIFICATE"" OF REGISTRATION.jpg","UNDER PROSES","Art & Culture","Andhra Pradesh",,"1) Medical&Health 2) Rural&Arben Development (Education.Health .Orphan Welfare.Women welfare )Culturel activitis.Craftmen welfare.Handicrafts","ADILABAD",9885200967,"ankushwelfaresociety@gmail.com","08751-251442","5-162/A,ASHOKNAGAR,ICHODA PIN NO 504307 DIST ADILABAD AP","08751-251442","Art & Culture",,,,,"http://www.ankushwelfaresociety.org"
"Andhra Pradesh",2223,"ANKUSH WELFARE SOCIETY ECCHODA","AP/2011/0039989","Bharat Sambhaji","Bharat Sambhaji",,,,,"Laxman Bhumareddy","Braihma Sayanna","Karwani Islami","Registrar of Societies","Society","No.243 of 2003",06/06/2003 00:00,"Nirmal","http://ngo.india.gov.in/ngo/88355ed2775eb63a8a03c1f970f855e0.Ankush0001.jpg",,"Art & Culture","Andhra Pradesh","Nizamabad","Art and Culture","Nirmal",9666907700,"ankushwelfaresociety03@gmail.com",,"H No-108,Village and Mandal Ecchoda, Dist Nirmal","08751-225272","Art & Culture",,,,,
"Andhra Pradesh",2223,"ANNADAATHA","AP/2009/0021035","Y Chamanthi","S P D Kumar","V Ramakrishna Reddy","Promoter Name 2","V Ramakrishna Reddy","T R Venugopal","Y Chamanthi","Bayamma","Karwani Islami","Registrar of Societies","Society","365/2006",06/08/2006 00:00,"Anantapur","http://ngo.india.gov.in/ngo/Annadaatha.jpg",,"Agriculture, Art & Culture, Biotechnology, Children, Civic Issues, Disaster Management, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Legal Awareness & Aid, Labour & Employment, Land Resources, Micro Finance (SHGs), Minority Issues, Micro Small & Medium Enterprises, New & Renewable Energy, Nutrition, Panchayati Raj,","Andhra Pradesh","Anantapur","Objectives: â€¢ To educate the youth through literacy programs cultural action in the village sports and to organize them in to youth Societies for the purpose of self Development. â€¢ To encourage sports and games and to implement programs for the improvement of village environment and facilities. â€¢ To educate the children of the special those who do not go to school because of economic reasons. â€¢ To improve the health and Nutrition status of women and children by conducting Aware men and service programs in the areas of health, hygiene, HIV / AIDS control and prevention, Nutrition, small family norms, sanitation etc. â€¢ To eliminate child Labour and Rehabilitate the affected children â€¢ To provide vocational training to increase employment opportunities for the youth, Adolescent girls and women and promote Income generating programs â€¢ To create Environmental Aware men and undertake Environment Improvement activities like Agro-forestry, Agro Horticulture, soil and water conservation, sustainable Agriculture Development, tank distillation, watershed management etc. â€¢ To work for the development of highly Neglected Tribal community and evolve programs for their socio-economic up-list men. â€¢ To evolve methods to reach large Number of people with disabilities to ensure equal opportunities, equality and social Justice for the disabled community and the Aged. â€¢ To organize poor rural, tribal and urban under-privatized women into groups and setup self help groups for their socio-economic development and empowerment â€¢ Build linkages between peopleâ€™s Institutions, Government and other NGOâ€™s. â€¢ To educate illiterate adults and developing them self help for National Improvement. To eradicate illiteracy and child Labour and to active the National goal of 100% Literacy. â€¢ To promote the taste in fine arts and historic talent among the young generation. â€¢ To organize cultural Programmes i.e. Kalajathas, Kolatam, Street plays, one act plays on different issues. â€¢ Community health and Nutrition â€¢ HIV / AIDS Aware men, promotions of herbal gardens and medicines â€¢ Promotion of micro-credit â€¢ Community health and referral services. â€¢ Formation and strengthening of self help groups â€¢ Sustainable Agriculture Development â€¢ Watershed Development and tank rehabilitation program â€¢ Environment Aware men and Development programs â€¢ Women and child Development program â€¢ Revitalization of Herbal medicines â€¢ Micro Irrigation training programs â€¢ Medicinal plants cultivation and Aware men programs â€¢ Bio-Diesel plantation program â€¢ Youth cultural activities","CHILAMATHUR",9440454493,"annadaatha@Yahoo.com",,"D.No 1-30, B.Settypalli (village & Post), Chilamathur (Mandal), Hindupur (Taluk), Anantapur (District), Andhra Pradesh State, South India, PIN-515241.","08556-204263","Agriculture, Art & Culture, Biotechnology, Children, Civic Issues, Disaster Management, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Legal Awareness & Aid, Labour & Employment, Land Resources, Micro Finance (SHGs), Minority Issues, Micro Small & Medium Enterprises, New & Renewable Energy, Nutrition, Panchayati Raj,",,,,,
"Andhra Pradesh",2223,"ANNAI THERESA SOCIAL WORK ASSOCIATION","AP/2009/0014941","SAChelladurai","SArputharaj",,,,,"SAChelladurai","WDinakaran","Karwani Islami","Registrar of Societies","Society","289/1989",09/11/1989 00:00,"Chittoor","http://ngo.india.gov.in/ngo/ATSWA1989.JPG","010140145/1995","Agriculture, Children, Differently Abled, Disaster Management, Dalit Upliftment, HIV/AIDS, Micro Finance (SHGs), Rural Development & Poverty Alleviation, Women's Development & Empowerment","Andhra Pradesh","Chittoor","Residential Child Care,Education and Rehabilitation of the Disabled,HIV/AIDS awareness and Advocacy, Dalit & Tribaldevelopment, rural Women Empowerment, Micro finance,Enterprises & Self help Group activities, Disaster Relief & rehabilitation. 1.cares for 180 boys and Girls in 2 hostels, (2) Has done 4300 cataract operations since 1999 through monthly eye camps. (3).Secured fishing rights to fish in the sea for Dalit and Tribal fishermen from Tradtional fishermen in Pulicat, (4) Helped more than 20rural Dalit women leaders to become elected to local self Government offices.","madanambedu village",9884474866,"atswa2001@yahoo.com",,"Annai Theresa Social work Association, madanambedu Village & Post, Sathyavedu Mandal, Chittoor district, 517 588, Andhra pradesh","08576-227048","Agriculture, Children, Differently Abled, Disaster Management, Dalit Upliftment, HIV/AIDS, Micro Finance (SHGs), Rural Development & Poverty Alleviation, Women's Development & Empowerment",,,,,"http://www.atswa.org"
"Andhra Pradesh",2223,"ANNAMMA SCHOOL FOR HEARING AND PHYSICALLY HANDICAPPED AND BABY CARE CENTRE","AP/2010/0027933","Smt D VASANTHA KUMARI","D V RAGHAVULU",,,,,"Smt D VASANTHA KUMARI","Y VENKATESWARA RAO","registered under societies act","Registrar of Societies","Society","0391 / 97",22/10/1997,"VIJAYAWADA","http://ngo.india.gov.in/ngo/ANNAMMAREHABCENTRE.jpg",10260280,"Aged/Elderly, Children, Differently Abled, Education & Literacy, HIV/AIDS, Vocational Training","Andhra Pradesh","Krishna","The services / activities of Annamma includes: @ Awareness, identification @ Prevention @ Early Intervention @ Special Education @ Vocational Training @ Employment opportunities @ SHGs & income generation activities ..... identification to empowerment With all these activities / services, Annamma could reach the people with effective service delivery system suiting to their skills, needs and living circumstances. During this process, it has gained experience and made several achievements as: @Got recognized by the State and Central Government by way guidance & support. @Running Special School with the support of MSJE, New Delhi. @Got Registered with The National Trust, New Delhi. @Tax Excemption under12A & 80G. @Won 28 medals at National Level @won 32 medals at State Level @won 42 medals at District Level @32 passed 7th class @28 passed 10th class @ got recognized for networking both in District as well as in the State of AP. With this service spectrum, Annamma is moving forward to reach more and more needy people living in the rural villages who struggles for the basic needs itself. Its future vision includes: @ Developing independent infrastructure @ Enhance Vocational Training Centre @ Establish Production cum marketing units @ Work for Barrier Free Environment @ Establish HRD Centre @ Advocacy & Networking","IBRAHIMPATNAM",9963270721,"annammasociety2007@gmail.com",,"The Secretary, Annamma School for Hearing and Physically Handicapped & Baby Care Centre, Opp. Police Quarters, VTPS Road Ibrahimpatnam - 521 456.","0866-2883700","Aged/Elderly, Children, Differently Abled, Education & Literacy, HIV/AIDS, Vocational Training",,,,,
"Andhra Pradesh",2223,"ANTI POVERTY AND HUMAN RESOURCES DEVELOPMENT SOCIETY","AP/2010/0026184","B GANGA RAJU","B GANGA RAJU",,,,,"SOWDAMANI","R RAMANA","Karwani Islami","Registrar of Societies","Society",35,31/01/1987,"VIASAKHAPATNAM","http://ngo.india.gov.in/ngo/APHRDS.jpg",,"Animal Husbandry, Dairying & Fisheries, Aged/Elderly, Agriculture, Art & Culture, Biotechnology, Children, Civic Issues, Differently Abled, Disaster Management, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Legal Awareness & Aid, Labour & Employment, Land Resources, Micro Finance (SHGs), Minority Issues, Micro Small & Medium Enterprises","Andhra Pradesh","East Godavari, Visakhapatnam","APHRDS IS IMPLEMENTING VARIOUS DEVELOPMENTAL ACTIVITIES AS WELL AS SOCIAL AWARENESS PROGRAMME IN VISAKHAPATNAM AND EAST GODAVARI DISTRICT OF ANDHRA PRADESH","VISAKHAPTAM",9440306776,"aphrds_pdr@rediffmail.com",,"D.NO. 1-41-9, ADARSHNAGAR, PEAWALTAIR, VISAKHAPTANAM - 530 017, A.P., INDIA","0891-2781843","Animal Husbandry, Dairying & Fisheries, Aged/Elderly, Agriculture, Art & Culture, Biotechnology, Children, Civic Issues, Differently Abled, Disaster Management, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Legal Awareness & Aid, Labour & Employment, Land Resources, Micro Finance (SHGs), Minority Issues, Micro Small & Medium Enterprises",,,,,
"Andhra Pradesh",2223,"ANUSHA MAT AND C COOP SOC LIMITED","AP/2011/0042483","Anji Babu Choudary","Anji Babu Choudary",,,,,"srinivasa Rao","NO","Karwani Islami","Registrar of Cooperative Societies","Cooperative Society","AMC/MDK DCO/2008/1691",09/08/2008 00:00,"Medak","http://ngo.india.gov.in/ngo/7099df44c82b9efb5b4d21d4d97561fe.Byelaw0.jpg","no","Animal Husbandry, Dairying & Fisheries, Aged/Elderly, Agriculture, Art & Culture, Biotechnology, Children, Civic Issues, Differently Abled, Disaster Management, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Land Resources, Micro Finance (SHGs), Minority Issues, Micro Small & Medium Enterprises, New & Renewable Energy, Nutrition","Andhra Pradesh",,"we are working for under developed villages","Hyderabad",9246111826,"anusha.org@gmail.com",,"flat no:201,maheshwari residency,near pancyat office ,nizampet village,kukatpally,hyderabad-500090","040-30726807","Animal Husbandry, Dairying & Fisheries, Aged/Elderly, Agriculture, Art & Culture, Biotechnology, Children, Civic Issues, Differently Abled, Disaster Management, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Land Resources, Micro Finance (SHGs), Minority Issues, Micro Small & Medium Enterprises, New & Renewable Energy, Nutrition",,,,,"http://anushasociety.org"
"Andhra Pradesh",2223,"ANVITHA PRASAD EDUCATIONAL AND WELFARE SOCIETY","AP/2009/0011251","G SAI PRASAD","K ANJANEYULU",,,,,"G SAI PRASAD","J JYOTHI LAXMI","Karwani Islami","Registrar of Societies","Society",2103,11/04/1981 00:00,"HYDERABAD","http://ngo.india.gov.in/ngo/ANVITHA.jpg",,"Education & Literacy, HIV/AIDS, Information & Communication Technology, Vocational Training, Youth Affairs","Andhra Pradesh","Karimnagar","THE ORGANISATION AS CONDUCTED IN TEH FOLLOWING PROGRAMMES THEY ARE : HIV/AIDS AWARENESS CAMPS, EDUCATINAL PROGRAMEMS, HEALTH CAMPS , NON FARMER EDUCATIONAL PROGRAMMES, TAILORING TRAINING PROGRAMME, PULSE POLIO IMMUNIGATION AWARENESS, ENVIRNONMENTAL AWARNESS PROGRAMME AND THE ORGANISTIONAL STAFF ARE PARTICIPATING CENTRAL AND STATE GOVERNMENT SPONSERED PROGRAMME FROM TIME TO TIME AND WE ARE DISTRIBUTING FREE TEXT BOOKS, UNIVFORMS TO POOR PUPLIES THOSE WHO ARE LIVING IN THE BELOW PVOERTY LINE FAMILIES","HYDERABAD",9490016799,"saiprasad.49@gmail.com",,"FLAT NO. 115/8, GANGOTHRI APARTMETNS, HUDA COMPLEX, KOTHPET, HYDERABAD - 500 035, R.R. DISTRICT, A.P.","040-24035725","Education & Literacy, HIV/AIDS, Information & Communication Technology, Vocational Training, Youth Affairs",,,,,
"Andhra Pradesh",2223,"AP DALIT UNEMPLOYEES WELFARE ASSOCIATION","AP/2009/0020403","P RAKSHAKUDU","P RAKSHAKUDU","N LAXIMIKANTHAM VICE PRESIDENT","Promoter Name 2","A ELIJABETH RANI MEMBER","J THARA MEMBER","P PEDDI RAJU","M RAJA MANI","Karwani Islami","Registrar of Societies","Society","334/83",16/12/1983,"ELURU","http://ngo.india.gov.in/ngo/WXYZ9666450627.jpg",,"Dalit Upliftment","Andhra Pradesh","West Godavari","OUR MAIN ACTIVITIES ARE DALIT DEVELOPMENT FOR BETTER LIVINIG OF SC ST AND MIONORITES FOR THE PROGRAMMES ARE HEALTH RELATE,EDUCATION ,TRAINNING PROGRAMMES,DISIBULITEY ,AND OLD AGED PEOPLE etc","TANUKU",9666450627,"indirap.2009@rediff.com","08819-326836","DOOR NO-2-25-9,12th WARD OLD TOWN TANUKU-534 211","08819-326836","Dalit Upliftment",,,,,
"Andhra Pradesh",2223,"AP HABITAT SOCIETY","AP/2010/0031237","MI GULSHANI","MI GULSHANI","Md ishaq",,,,"CK SINHA","M GOVARDHAN","Global Welfare Society","International Organisation","Society","1895 OF 1983",17/11/1983,"HYDRABAD","http://ngo.india.gov.in/ngo/habitat.jpg",10230599,"Housing","Andhra Pradesh","Hyderabad","this society is instrument in provided shelter to 1)Fisherman at kottapatnam, prakasam district AP 80 dwellings in 1972. 2)250 Housing units to P.W.D,work charge employee at karim nager 3300 units to class 4th Govt.Empolyees at Paloncha,Khammam Dist 4)400 housing units to padmashali (weaver community)at old city at hydrabad -1975.5)4000 housing plots to christian Brethren fully developed ready for construction@0.70 pise .","hyderabad",8099807097,"presidentaphs@gmail.com","040-24040985","h-no 15-155,r.no.1,Venkateshwara colony Saroor nager","040-24040409","Housing",,,,,"http://www.aphabitat.org"
"Andhra Pradesh",2223,"AP MAHILA ABYUDAYA SAMITHI APMAS","AP/2010/0024684","D BHAVANI","D BHAVANI",,,,,"K VIJAYA PRABHA","M MARY","a p mahilabhyudaya samiti","Registrar of Societies","Society","184-1991",23/04/1991,"ONGOLE","http://ngo.india.gov.in/ngo/arunakiranam.JPG",10330061,"Aged/Elderly, Children, Civic Issues, Education & Literacy, Environment & Forests, HIV/AIDS, Legal Awareness & Aid, Women's Development & Empowerment","Andhra Pradesh","Prakasam","The Organistion is recognized by women and child welfare department of A.P., the name was added in the national guide for Destitute women popular in the District in the A.P.State. we are running short stay home and family counselling center. we mobalized women cooks for construction of colony at Ongole for 500. Mobalized stone crusher, women thrift groups 50 groups in 6villages member involved 550. we are conducting health camps and family planning programmes, tree plantations, world peace community development and we also conducted so many training programmes. Eg: women laws and acts legal aid services, market knowledge-detection of adulteration for women.we are conducting plantations in our city for clean & green.totally, our organisation dedicated to the development of society.","Ongole",9391337705,"t.arunakiranam@gmail.com","08592-231712","A.P.MAHILA ABHYUDAYA SAMITHI, 37-1-413(47), 7th line ramnagar, Ongole, 523001, Prakasam District, A.P","08592-237475","Aged/Elderly, Children, Civic Issues, Education & Literacy, Environment & Forests, HIV/AIDS, Legal Awareness & Aid, Women's Development & Empowerment",,,,,"http://ngo.india.gov.in"
"Andhra Pradesh",2223,"AP STATE FORUM FOR ECONOMICALLY WEAKER SECTIONS","AP/2009/0010515","Ramesh C","Ramesh C","Shiva kumar","Promoter Name 2","Shiva kumar",,"Ramesh C","Sai Raju G","Network of Nanded District By People Living","Registrar of Societies","Society","517/76",13/07/1976,"Hyderabad","http://ngo.india.gov.in/ngo/apstateforum.jpg","-","Animal Husbandry, Dairying & Fisheries, Aged/Elderly, Agriculture, Art & Culture, Biotechnology, Children, Civic Issues, Differently Abled, Disaster Management, Dalit Upliftment","Andhra Pradesh","Nizamabad","APstate forum for economically weaker sections is a registered organisation and working for the wlefare of poor disbaled particularly in the branch of mentrally retarted , child labour, eye camps,family planning ,HIV AIDS etc, since its inception , now decided to extended its activities towards rural development , as a part of of its activities .","NIZAMABAD",9246913303,"stuv2003@gmail.com","08462-645039","AP STATE FORUM FOR ECONOMICALLY WEAKER SECTIONS H.NO. 6-9-7, NAMDEVWADA, NIZAMABAD 503 002 ANDHRA PRADESH","08462-237939","Animal Husbandry, Dairying & Fisheries, Aged/Elderly, Agriculture, Art & Culture, Biotechnology, Children, Civic Issues, Differently Abled, Disaster Management, Dalit Upliftment",,,,,
"Andhra Pradesh",2223,"APARANJI FINE ARTS SOCIETY","AP/2011/0040248","Kanumuri Augustya","Kanumuri Augustya",,,,,"Sirra Steven Jayanand","Sirra Jalian Leena","Karwani Islami","Registrar of Societies","Society","774/2004",15/12/2004,"Eluru","http://ngo.india.gov.in/ngo/e4e657719f1536c61a694df211541027.aparanjiCertificate.JPG",,"Art & Culture","Andhra Pradesh",,"Poetry Competition, workshop. Drawing competition, workshop. Photography competition, workshop, exhibition.","Eluru",,"aparanji.k@gmail.com",,"H. No. 28-1-53/4, 8th Road, Santhinagar, Eluru-534007. West Godavari District, Andhra Pradesh.","94411-01601","Art & Culture",,,,,"http://www.aparanji.com"
"Andhra Pradesh",2223,"APMAS","AP/2009/0009040","TCS Reddy","MadhavaRao","Siva Rama Krishna",,,,,,"Karwani Islami","Registrar of Societies","Society","3800-2001",06/01/2001 00:00,"Hyderabad","http://ngo.india.gov.in/ngo/msrk2508.jpg",,"Women's Development & Empowerment","Andhra Pradesh, Bihar, Gujarat, Karnataka, Madhya Pradesh, Orissa, West Bengal","Adilabad, Anantapur, Chittoor, Cuddapah, Hyderabad, Mahabubnagar, Medak, Rangareddy","APMAS is a national-level technical and managerial support institution with a vision, â€œSustainable self-help movement in Indiaâ€. It works for womenâ€™s empowerment and poverty alleviation through capacity building, quality assessment, livelihood promotion, communication and research & advocacy on a fee-for-service basis. APMAS is funded by DFID through CARE India, Ford Foundation, Aga Khan Foundation, and InWEnt. APMAS became fully operational in July 2001 and today it has a functional team of 40 professionals providing services to diverse stakeholders across the state and in a limited way to other states. A variety of tools and content have been developed to take up Quality Assessment (rating) and capacity building services. Towards wider dissemination of best practices and for impacting the quality of community based institutions, APMAS publishes a monthly magazine called Mahila Sadhikaratha (Women Empowerment), conducts National Immersion Programmes for all stakeholders, and is establishing a national virtual resource centre for SHG stakeholders (www.shggateway.in). APMAS has developed strong networks with the Department of Women Empowerment & Self Employment, SERP, APRLP, PRIA, NABARD, Andhra Bank and other state level institutions. APMAS has responded to requests for capacity building support from training institutions located in Hyderabad like NIRD, MANAGE, APARD, ICM and other.","Hyderabad",9010197654,"info@apmas.org","040-23547926","APMAS Plot No.20, Road No.20 Banjara Hills","040-23547927","Women's Development & Empowerment",,,,,"http://apmas.org"
"Andhra Pradesh",2223,"APMAS","AP/2010/0026579","T CS Reddy","K Madhava Rao","T CS Reddy",,,,,,"Karwani Islami","Registrar of Societies","Society",3800,14/06/2001,"Hyderabad","http://ngo.india.gov.in/ngo/APMASINFO.jpg",,"Rural Development & Poverty Alleviation","Andhra Pradesh, Bihar, Gujarat, Karnataka, Madhya Pradesh, Maharashtra, Orissa, Uttar Pradesh",,"APMAS originated in 2001 out of a need for an institution which provides capacity building for both primary and secondary stakeholders and which ensures quality promotion and management in SHG institutions. Since inception, APMAS has been actively supported by the Government, Banks, NGOs and Community Based Organizations. APMAS is registered as a Non-Governmental public society and stands under the Foreign Contribution Regulation Act, 1976. APMAS quickly established itself as a unique, credible, and pioneering support organization in the field of SHG promotion. APMAS is a professionally managed organization with a devoted governing board and dedicated staff. The Board of APMAS consists of 21 representatives from the government, NGOs, financial institutions and banks, academic institutions, SHG federations, and eminent individuals. APMAS has adopted, and is adhering to, international standards for internal systems. These internal systems include a comprehensive Human Resource policy, Financial System, proactive Staff Training and Development, and involvement programmes. APMAS strongly believes in partnerships and collaborations for achieving its vision and mission. By generating internal funds through a â€œfee for servicesâ€ strategy, APMAS has emerged as a new generation NGO and aims to be self-reliant. APMAS is a National Level Organization. It provides field support to the staff of SERP on institutional building, covering their work in 11 districts, 90 mandals, and working with MEPMA piloting in 3 towns of Andhra Pradesh. APMAS extended its support activities to 5 states of India: Bihar, Gujarat, Orissa, Madhya Pradesh and Uttar Pradesh. APMAS is providing Capacity Building support to 13 districts of Bihar, one district of Orissa, one district of Gujarat and two districts of Madhya Pradesh, one district in Uttar Pradesh. Apart from direct Capacity Building, APMAS has strong collaboration with ENABLE members in Policy Advocacy and Capacity Building in the states of Karnataka, Maharashtra, Gujarat, Rajasthan, West Bengal and other states in Northeast, East and Central India. Unique services by APMAS for strengthening the SHG Movement APMAS core business is building capacities of the Self Help Promoting Agencies (SHPAs) through Quality Assessment (rating), Quality Enhancement, Research & Advocacy and Livelihoods Promotion Services to SHGs and SHG Federations through their promoters. Quality Enhancement Capacity Building (CB) to the primary, secondary, and tertiary stakeholders in the SHG movement holds the key for long-term sustainability of both SHGs and their federations. Various capacity-building initiatives taken up by APMAS in Andhra Pradesh and the other states have brought greater recognition to APMAS in the country. CB focuses on training of trainers based on needs assessment, hand-holding support, follow-up of training conducted, facilitating exposure visits, material development and enabling the process of problem solving at the field level. Field visits are undertaken to provide on-the-job support and to demonstrate good practices in the filed. The key initiatives under this unit are expansion of the SHG support services to the other states and promotion of the urban SHG movement. Over the past 8 years, APMAS has trained more than 80,000 professionals and SHG federation representatives. Quality Assessment (Ratings) Rating of SHG federations contributes to their sustainability. Through six rating tools that have been designed by APMAS over the last 8 years, it has assessed 434 SHG federations of various promoting Organizations. The findings of the assessments have been disseminated widely to gather consensus on the need of building necessary systems and processes in order to make the SHG federations institutionally and financially sustainable. APMAS ratings have been extensively used by SHPIs to improve the quality of their functioning, and assisting their efforts to acquire â€œseed capitalâ€ from externally funded projects. APMAS is recognized as a specialized agency for SHG federation rating in India. Livelihood promotion APMAS strategically chooses to support different livelihood interventions by strengthening the role of community based organisations (CBOs) in leading their livelihoods sustainably. Thus, APMAS created its niche role in supporting different livelihood activities across different sectors, with an approach denoted through a connotation Sustainable institutions for sustainable livelihoods. APMAS initiated its interventions in supporting Livelihood Promotional activities as an integrated unit established within the organisation in 2004. This was done with the financial support from the Aga Khan Foundation (AKF), under its Sustainable Community-based Approaches for Livelihood Enhancement (SCALE) project funded by the European Union (EU). Through this unit, APMAS plays a catalytic role in promoting rural livelihoods in collaboration with Government of Andhra Pradesh and other livelihood promotion supporting organizations. The key objectives of this unit is to integrate livelihood promotion initiatives by synergizing with the Institution Building, Capacity building processes among CBOs and thus develop these institutions to lead their livelihood activities in farm, off-farm, non-farm and service sectors with which they get associated, in rural India. APMAS provides professional support services to District/ Cluster Livelihood Resource Centers (D/CLRCs) in Adilabad and Kadapa districts to nurture and made them model institutions by creating institutional linkages for livelihood enhancement. It also provides support services in terms of IB, CB and Livelihood Promotional activities for SHGs and their federations under Indira Kranthi Patham (IKP). As part of its initiatives, it conducts few action research studies, develops few demonstrations, provides handholding support and develop case studies out of the best practices. It also organizes events like workshops, immersion programs, flagship programs etc., in facilitating the cross learning process across different stakeholders. Research and Advocacy As a resource organization, APMAS keeps track of the ground realities to provide a wealth of resources to other stakeholders in the development sector. The Research and Advocacy unit is divided into three components: Research, advocacy and communications. Action and applied research is being conducted by the unit on various issues as they emerge and findings from the studies are then used to design capacity building strategies for SHGs, promoting institutions, dissemination of findings through various workshops (advocacy), and made available to the public, through APMAS websites, and publications. Enable To build the profile of SHG movement, to bring issues of SHG movement to the notice of the government and other key stakeholders and to obtain a favorable environment for the healthy growth and sustainability of SHG movement, a National Network Enabling Self Help Movement (Enable) has emerged in 2007 with a vision â€œVibrant Women SHG Movement in Indiaâ€. Currently the network has seven member organizations, viz., APMAS, Hyderabad/Andhra Pradesh; Cmf, Jaipur/Rajasthan; Chaitanya, Rajgurunagar/Maharashtra; GMO, Kolar/Karnataka; ISMW, Ahemadabad; Reach India, Kolkatta; and SHGPF, Kolkatta. Enable is to contribute to a conducive-policy environment through research based advocacy for SHGs and federations, to facilitate the flow of funds for SHG & Federation promotion and on lending, to increase cadre of human resources using standardized training and resource materials for improving quality, to build the profile of the community cased microfinance model, and to promote innovative models for up-scaling and replication. Expansion Programme APMAS is working in 8 states Andhra Pradesh, Bihar, Uttar Pradesh, Madhya Pradesh, and began to extend its operations in states like Assam, Rajasthan, Gujarat and Orissa, in a phased manner. The states were decided upon with three considerations: firstly, the state would have shown considerable improvement in the quality of the SHG movement. Secondly, the state where institution like APMAS already exists and would show willingness to partner with APMAS; and thirdly, the state where APMAS has already done some work and has some understanding with the local organizations. APMAS explored the possibilities of receiving support from different agencies and succeeded in getting initial support from Sir Dorabji Tata Trust (SDTT) for the states of Bihar and Uttar Pradesh, from Mission Shakti for the state of Orissa, and from AKF (for AKRSP) for the states of Madhya Pradesh and Gujarat. It was decided to explore other collaborators as well within the states. Swayam Niyantrana Udhyamam (SNU) / Self Regulation of SHGs and SHG Federations APMAS is currently engaged in piloting a Swayam Niyantrana Udyamam (SNU) project, with the funding support of DGRV, Germany. The pilot project is being implemented in the Kamareddy Cluster of Nizamabad district of Andhra Pradesh. The overall objective of SNU is to ensure that SHG members set their agenda and manage and control the process, so that the SHG system successfully and sustainably works for the benefit of SHG members. The focus of SNU is to build the capacities of leaders and members in Standardized bookkeeping in use; Standardized reporting in use, Agreed best practices, performance standards and organized monitoring; Framing of policies on accounting, active implementation of policies, business and management; Systematic audit and monitoring of fund security; Systematic election; Capable and own staff; Continuous education/awareness and training; Clarity on General Body (GB), Representative General Body (RBG) Roles of Village Organizations (Primary level SHG Federations) and Mandal Samakya (Secondary level Federations); and Legal Compliances. Urban Interventions APMAS has been collaborating with MEPMA to continue support in strengthening of SHGs and SHG federations to achieve sustainability. Under the programme APMAS has been developing 3 Town-Level-Federations (TLFs) in LB Nagar, Gudivada, and Guntakal urban areas. The total number of SHGs in three towns are 6029 and Slum Level Federations has reached 155 in 2008-09. In all, 17,265 SHG members were trained on SHG Concepts, Federation Concepts and Best Practices. SLFs are undertaking several activities like food security and health in addition to the strengthening of the SHGs in their operational area. APMAS is considering the possibility of providing mentoring support to urban SHG federations to take up activities in the area of water & sanitation as those are considered as very important in urban areas. through their promoters","Hyderabad",,"creddy@apmas.org","040-23547926","APMAS Plot No. 20, Rao & Raju Colony, Road No.2, Banjarahills,","040-23547927","Rural Development & Poverty Alleviation",,,,,"http://www.apmas.org"
